username,full_text,lang,reply_count,quote_count,favorite_count,view_count,created_at,tweet_url
@icecreammylt,"kasian aja prj tuh ramenya ga wajar, terus juga tadi suara musik kenceng banget ga aneh kalo anak tantrum dan nangis",in,1,,,59,2023-07-08T17:31:13.000Z,/icecreammylt/status/1677732079478661120
@yohandavin,Wuih2 prj nh ,in,,,,26,2023-07-08T17:27:31.000Z,/yohandavin/status/1677731149798576129
@spencerrade,"Belum namatin PRJ, soalnya yg dicari abis (cimory choco mint & peanut butter). Semoga segera masuk ke konbini yaaa 
Terus karena banyak jajan 10rban tau tau balik bawa 2 kantong wkwkw stock 3 bulan kah ini  
Oiya sama kayaknya tiap tahun ke PRJ menu yg kubeli sama, nasi bali.",in,1,,,122,2023-07-08T17:23:37.000Z,/spencerrade/status/1677730166444023809
@greshangree,nggaa. kemaren udah nonton di prj jadi sepertinya itu aja dah cukupp,in,,,,24,2023-07-08T17:18:04.000Z,/greshangree/status/1677728773607936001
@venicechics,heran banget prj isinya lautan manusia pindah ke kokas masih juga liat lautan manusia ,in,,,,32,2023-07-08T17:15:28.000Z,/venicechics/status/1677728118516387841
@gemintchoco,"di prj liat ini ""dengan cone rasa "" jadi pengen. tapi gara2 ngantri, ga jadi. akhirnya pas beberapa hari kemudian mampir fm, eh ada, langsung gas cobain. ternyata b aja ga sesuai ekspetasi. kirain rasanya bakal keju banget, ternyata malah yang kerasa vanilanya doang",in,1,,,26,2023-07-08T17:14:57.000Z,/gemintchoco/status/1677727985917636609
@delstrbl,"Photo dump nonton perunggu di prj, tempat penitipan tas, dijalan pulang, laper jam 2 pagi",in,,,,31,2023-07-08T17:13:35.000Z,/delstrbl/status/1677727641447841792
@Agistasyahka,"Liat berita PRJ rame banget. 
Gue gak mau ah kesono lagi. Dulu mau kesana malah kena jambret. Bhay ",in,,,,39,2023-07-08T17:09:30.000Z,/Agistasyahka/status/1677726614002737152
@PT_Transjakarta,"Hai kak, silakan naik rute PRJ1: PGC - PRJ. Terima kasih ^ZL",in,,,,43,2023-07-08T17:08:12.000Z,/PT_Transjakarta/status/1677726290604879875
@doyxinhogii,siapa yg hari ini k prj? nnti kalo ktmu aku sapa yakk pren,in,,,,78,2023-07-08T17:04:13.000Z,/doyxinhogii/status/1677725284894924800
