username,full_text,lang,reply_count,quote_count,favorite_count,view_count,created_at,tweet_url
@skubidupapap_,gais ada yg mau jastip prj ga ya?,in,,,,126,2023-06-16T01:42:21.000Z,/skubidupapap_/status/1669520756823449600
@DarmawatiLisna,"PRJ sudah sangat akrab dengan warga Jakarta, Dimana kehadirannya senantiasa ditunggu masyarakat setiap tahunnya, ""ungkap  Presiden Joko Widodo

@ngopibareng_DAR

Kasad Dudung Abdurachman
Tulus Mengabdi Untuk Rakyat",in,,,,43,2023-06-16T01:40:58.000Z,/DarmawatiLisna/status/1669520409040150528
@meowrcurry,Kalo prj nay nder kecuali km mau belanja banyak. Kalo sendirian cuma buat liat2 nnt gaada org buat share your excitement atau discuss something you see.,in,,,,43,2023-06-16T01:32:46.000Z,/meowrcurry/status/1669518346738618369
@HijrahBersahaja,Tahun ini ke prj sama siapa ya ,in,,,,34,2023-06-16T01:30:21.000Z,/HijrahBersahaja/status/1669517736463208449
@MadarameSenju,"Dalam sebuah sambutannya, Presiden Joko Widodo mengatakan bahwa, PRJ sudah sangat akrab dengan warga Jakarta

@ngopibareng_DAR

Kasad Dudung Abdurachman
Tulus Mengabdi Untuk Rakyat",in,,,,24,2023-06-16T01:27:58.000Z,/MadarameSenju/status/1669517136321200128
@disneymania82,@nafasidn polusi hari ini jam 8.24 pagi dari area kemayoran prj.,in,,,,57,2023-06-16T01:24:22.000Z,/disneymania82/status/1669516232754888704
@KompasTravel,"5 Oleh-Oleh PRJ 2023, Wajib Beli Snack Chiki Bantal",in,,,,229,2023-06-16T01:22:01.000Z,/KompasTravel/status/1669515642356273152
@InfoJktCom,"Jakarta Fair Resmi Dibuka, Catat Jadwal Konser Musik PRJ 2023 - Metro - SINDOnews http://dlvr.it/SqlN3r",in,,,1,168,2023-06-16T01:10:35.000Z,/InfoJktCom/status/1669512763939627008
@xanbur,"pataul emg definisi bocah iseng dah, malem2 diajak ke prj nonton tipe x gas2 aja",in,,,,77,2023-06-16T00:57:43.000Z,/xanbur/status/1669509525181984769
@Afriliarp,Kuy PRJ awkwkwk,in,1,,,25,2023-06-16T00:52:52.000Z,/Afriliarp/status/1669508304379445253
@blurued,At prj @-@,in,1,,,241,2023-06-16T00:35:43.000Z,/blurued/status/1669503988683907072
@akuultraboy,main main aja ke prj,in,1,,,27,2023-06-16T00:32:12.000Z,/akuultraboy/status/1669503105577410560
@MurtadhaOne1,"Presiden Jokowi Resmikan dan Datangi Pekan Raya Jakarta Membuat Para pedagang di PRJ banyak yg Gemetaran

14 Juni 2023",in,32,153,529,27.3K,2023-06-16T00:21:13.000Z,/MurtadhaOne1/status/1669500339794620416
@zkheey,Ke PRJ,in,,,,9,2023-06-16T00:01:04.000Z,/zkheey/status/1669495269120147459
@Doislyfe,"suka banget sama kerak telor, tapi makan cuma setahun 2-3 kali alias pas ada PRJ doang ",in,,,,36,2023-06-15T23:51:59.000Z,/Doislyfe/status/1669492982763118592
@yolandacitayem,"Kagak ada nitip2an karna w udh capeeeqqq ngurus, makin capek lagi w bawa2 barang titipan segede2 gaban kilo2an wkwkwkw silahkan datang sendiri ke prj hahaayyy",in,1,,,58,2023-06-15T23:46:32.000Z,/yolandacitayem/status/1669491611674497024
@AnnisaQM,"Mau nyoba ke prj, tpi ngeliatnya aja kaki udh capek duluan. Gabisa deh gabisa, ke prj bawa bocil sklian olahraga ini mah",in,,,,32,2023-06-15T23:40:06.000Z,/AnnisaQM/status/1669489992387952641
@RafifFadhlurra4,Pilihan 3: Naik Koridor 13 jurusan Tendean turun di CSW lalu naik 10H jurusan Tanjung Priok turun di Pasar Baru Timur lalu naik PRJ 2 jurusan Jakarta International Expo,in,,,,24,2023-06-15T23:38:22.000Z,/RafifFadhlurra4/status/1669489557526695936
@RafifFadhlurra4,Pilihan 1: Naik L13E jurusan Kuningan Barat turun di Kuningan Barat lalu naik 9A jurusan PGC 1 turun di BKN lalu naik PRJ 1 jurusan Jakarta International Expo,in,,,,39,2023-06-15T23:37:09.000Z,/RafifFadhlurra4/status/1669489249798979585
@dwinovaseptiani,@PT_Transjakarta kalo mau ke prj apakah bisa naik busway dr monas,in,1,,,199,2023-06-15T23:37:02.000Z,/dwinovaseptiani/status/1669489219088302080
@gNini,Prj udah buka,in,,,,95,2023-06-15T23:35:33.000Z,/gNini/status/1669488847678504961
@Bae_Stuty,"PRJ, kukira J nya itu Jombang",in,,,,207,2023-06-15T23:22:54.000Z,/Bae_Stuty/status/1669485665330012160
@KompasTravel,Di PRJ Ada Apa Saja? Bisa Jajal 6 Aktivitas Ini,in,,,,203,2023-06-15T23:12:01.000Z,/KompasTravel/status/1669482925526781952
@disbuddki,"Pada pembukaan Pekan Raya Jakarta (PRJ) tahun 2023, Dinas Kebudayaan Provinsi DKI Jakarta turut meramaikan acara tersebut yang bertempat di Jakarta International Expo (JIEXPO) Rabu, 14 Juni 2023.",in,1,,2,120,2023-06-15T23:11:35.000Z,/disbuddki/status/1669482814004412418
@carbluenara,pgn ke prj tp cuma pgn beli snack yang bundle aja,in,1,,,57,2023-06-15T22:43:25.000Z,/carbluenara/status/1669475727157399555
@HajiiiiB,Ke prj aja mumpung ada,in,,,,107,2023-06-15T22:33:26.000Z,/HajiiiiB/status/1669473214312112128
@BUKANSHWA,lah iya prj dah mulai ya,in,,,,21,2023-06-15T22:30:25.000Z,/BUKANSHWA/status/1669472456443297793
@Hafeeezy,Ini prj ya ka,in,1,,,21,2023-06-15T22:13:25.000Z,/Hafeeezy/status/1669468179318571008
@haechihceahh,Ada gasih yg open trip bdg jkt buat ke PRJ  guee mau kesana tpi gaada temen,in,,,,38,2023-06-15T22:07:14.000Z,/haechihceahh/status/1669466621948342272
@jakenifuji,ke prj kalo gabawa ortu gabisa beli apa2 anjir kek gamau bgt beli snack jajan2 pake uang sendiri lolz,in,,,,110,2023-06-15T21:56:01.000Z,/jakenifuji/status/1669463797655040000
@inilahdotcom,Ditulis oleh: Diyah Nur Alifah   Jakarta Fair Kemayoran atau yang lebih dikenal sebagai Pekan Raya Jakarta (PRJ) kiranya sudah tak terdengar asing bagi warga ibu kota.   Kemeriahannya selalu dinanti dan ditunggu-tunggu oleh banyak lapisan masyarakat.…,in,,1,3,267,2023-06-15T21:12:34.000Z,/inilahdotcom/status/1669452863779778560
@lynuxstore,pgn ke prj tp seret,in,,,,71,2023-06-15T20:35:19.000Z,/lynuxstore/status/1669443490609238016
@aaefhirs,"Fyp tiktok isinya prj semua, apakah kita harus ke prj(?) WKWKWKW",in,,,5,117,2023-06-15T20:25:34.000Z,/aaefhirs/status/1669441035137871873
@medcom_id,"Penjabat (Pj) Gubernur DKI Jakarta Heru Budi Hartono mengatakan Jakarta Fair atau Pekan Raya Jakarta (PRJ) konsisten digelar selama 54 tahun. Ajang tersebut dinilai momentum memperkuat ekonomi domestik.

#JakartaFair #PekanRayaJakarta #PRJ",in,,2,1,144,2023-06-15T20:00:01.000Z,/medcom_id/status/1669434606855294976
@Ccillay_,sumpah mw ke prj bgt ayoo kek weekend ,in,,,,19,2023-06-15T19:56:54.000Z,/Ccillay_/status/1669433821371174917
@Adpahl_,Ratu PRJ selatan,in,,,,81,2023-06-15T19:47:35.000Z,/Adpahl_/status/1669431478395211776
@namakuuta,lgian ngpain ke prj anj jam segitu,in,1,,,41,2023-06-15T19:40:53.000Z,/namakuuta/status/1669429790355623941
@ajralisme_,"gue ke prj sat, ini keujanan gara-gara proyek kebon baru anjing",in,2,,,67,2023-06-15T19:40:20.000Z,/ajralisme_/status/1669429653315133440
@SUSHICARTEL,omw to prj memborong body shop,in,1,,,291,2023-06-15T19:31:02.000Z,/SUSHICARTEL/status/1669427310800539648
@MalondsD,Yang butuh tiket prj jkt48 tgl 7 dm,in,,,1,"3,427",2023-06-15T19:26:46.000Z,/MalondsD/status/1669426238317010944
@roasteduck,gara-gara liat vid prj ditiktok jadi pengen kerak telor,in,,,,22,2023-06-15T19:21:35.000Z,/roasteduck/status/1669424933351596032
@cafein_freak,siyu on PRJ /g,in,1,,,17,2023-06-15T19:18:49.000Z,/cafein_freak/status/1669424239177515008
@Gagalditemukan,PRJ yukkk kwkwkw,in,,,1,83,2023-06-15T19:15:17.000Z,/Gagalditemukan/status/1669423350903635968
@kinsekar,sepertinya abis gajian kuingin ke prj jajan skin care,in,,,,175,2023-06-15T19:08:24.000Z,/kinsekar/status/1669421616319823872
@seungcheoly,"BAHAHAHA KE PRJ AJA HARUS PLANNING GARA"" 70% ISINYA TEMEN SEKOLAH SEMUA",in,1,1,,32,2023-06-15T19:06:34.000Z,/seungcheoly/status/1669421154778619904
@saripu15,"setelah ku kasih tau alasanku ngambek pas ke prj yg ku ceritakan sebelumny dia bilang ""aku ilfil ke kamu cuma karna hal kecil itu jadi kamu kebisaan"" nanti biar kamu ngerasain gimana aku gaada waktu buat kamu",in,2,,1,19,2023-06-15T18:41:53.000Z,/saripu15/status/1669414945006690304
@InfoJktCom,Keeway V 252 C Resmi dirilis di Jakarta Fair/ PRJ 2023 - http://tmcblog.com http://dlvr.it/SqklKz,in,,,,74,2023-06-15T18:40:33.000Z,/InfoJktCom/status/1669414607998578688
@nabujjaem,pengen ikut prj  buldep kali ya,in,,,,30,2023-06-15T18:23:13.000Z,/nabujjaem/status/1669410244857065472
